Method,K,HitRate,Recall,NDCG,DMR
Random,5,0.1,0.00972222222222222,0.023216781127212267,0.6766666666666665
Random,10,0.26666666666666666,0.025,0.02834490444797706,0.6683333333333334
Random,20,0.45,0.05,0.03980213085328931,0.6708333333333333
Popularity,5,0.2,0.01736111111111111,0.046123911701625074,0.885
Popularity,10,0.45,0.04583333333333333,0.05365763904076958,0.8491666666666667
Popularity,20,0.6333333333333333,0.08333333333333333,0.06987761793167915,0.8645833333333334
ContentMatch,5,0.7,0.08472222222222221,0.2092292491567068,1.0
ContentMatch,10,0.8666666666666667,0.14305555555555555,0.18470993318556156,1.0
ContentMatch,20,0.9583333333333334,0.24166666666666667,0.2230674487810121,0.9974999999999999
StaticTT,5,0.4166666666666667,0.03888888888888888,0.09203671801748099,1.0
StaticTT,10,0.5833333333333334,0.06805555555555556,0.08426097597741282,1.0
StaticTT,20,0.825,0.13958333333333334,0.1175449361849287,1.0
DynamicTT,5,0.6083333333333333,0.07708333333333334,0.19984411494984441,0.9900000000000001
DynamicTT,10,0.8166666666666667,0.13055555555555556,0.17451702830177432,0.9858333333333333
DynamicTT,20,0.9416666666666667,0.2277777777777778,0.21328287206398053,0.98
